Date,PE_ratio,CAPE
1933-11-30,22.354285714285712,12.01176619338994
1933-12-31,22.65909090909091,12.281801622601119
1934-01-31,23.728050427735255,13.02511982833238
1934-02-28,25.25094802587553,13.926922904274301
1934-03-31,23.734806629834253,13.25453762974009
1934-04-30,23.910663455222245,13.518389284490098
1934-05-31,21.2890625,12.181583235024027
1934-06-30,21.376344086021504,12.287726483952428
1934-07-31,20.183290707587386,11.741524229318248
1934-08-31,19.226706106063805,11.315025981829052
1934-09-30,18.59685863874346,10.909954083288849
1934-10-31,18.58002906373261,11.108352605351731
1934-11-30,18.937834499794153,11.448808690205704
1934-12-31,18.897959183673468,11.639337566475886
1935-01-31,16.24561403508772,11.495907968201596
1935-02-28,13.815384615384616,11.087812159055565
1935-03-31,11.52054794520548,10.398272404790031
1935-04-30,11.947131300823214,11.104210207149524
1935-05-31,12.446813807154813,11.985576683480101
1935-06-30,12.493827160493826,12.539519324443896
1935-07-31,13.424375388393022,13.202137936511015
1935-08-31,14.639478695502705,14.105056846668958
1935-09-30,15.276315789473683,14.418891702707441
1935-10-31,15.68421052631579,14.826232627114097
1935-11-30,17.157894736842103,16.12960516325115
1935-12-31,17.157894736842103,16.159192714615337
1936-01-31,17.87012987012987,17.087359845997245
1936-02-29,18.653846153846153,18.104536459517796
1936-03-31,18.81012658227848,18.66047820392603
1936-04-30,18.146341463414636,18.7189996651515
1936-05-31,16.576470588235296,17.750192519328646
1936-06-30,16.693181818181817,18.39300106583135
1936-07-31,17.288888888888888,19.360464512319144
1936-08-31,17.25,19.623060162983762
1936-09-30,17.074468085106385,19.86202424328763
1936-10-31,17.472407768135252,20.913091852533125
1936-11-30,17.476515931716754,21.49976534102416
1936-12-31,16.72549019607843,21.125663548155444
1937-01-31,16.752380952380953,21.61874158295351
1937-02-28,16.768518518518515,22.244221552805165
1937-03-31,16.297297297297295,22.042197016050576
1937-04-30,15.053097345132747,20.556579457432864
1937-05-31,14.130434782608697,19.47417468657211
1937-06-30,13.367521367521368,18.711659960364965
1937-07-31,13.963443922910331,19.646723279607627
1937-08-31,13.91139587644287,19.806982577380964
1937-09-30,11.778688524590164,16.847882862705806
1937-10-31,10.319327731092438,14.361659574753352
1937-11-30,9.655172413793103,13.158119166486063
1937-12-31,9.752212389380531,13.008483033706137
1938-01-31,10.504611440831454,13.511461918562418
1938-02-28,10.788308756706046,13.26307623646087
1938-03-31,10.628865979381445,12.37728623469769
1938-04-30,10.948343523373994,11.789517720684183
1938-05-31,11.928282100286015,11.992275930545693
1938-06-30,13.25974025974026,12.288966307788131
1938-07-31,17.0,14.77032801749207
1938-08-31,18.37313432835821,14.903588512604365
1938-09-30,18.951612903225808,14.282330508639967
1938-10-31,20.840414446588063,16.06114764333344
1938-11-30,20.636852966764717,16.149571800715517
1938-12-31,19.828125,15.756484438994006
1939-01-31,18.84423057499024,15.599634410919288
1939-02-28,18.058243661046767,15.664696928954772
1939-03-31,17.450704225352116,15.729223743214229
1939-04-30,14.903662888228034,13.916994579812405
1939-05-31,15.107630093107666,14.502929499657775
1939-06-30,15.039473684210526,14.833828921489786
1939-07-31,15.07724674796277,15.270952598570258
1939-08-31,14.546224599254034,15.120082343333989
1939-09-30,15.76543209876543,16.452835577060963
1939-10-31,15.357142857142858,16.82120480626564
1939-11-30,14.563218390804598,16.59923850994664
1939-12-31,13.744444444444444,16.280412901283842
1940-01-31,13.225806451612904,16.37848034261367
1940-02-29,12.729166666666668,16.216119847731054
1940-03-31,12.272727272727273,16.172906305307897
1940-04-30,12.18870136191602,16.370988707128785
1940-05-31,10.338795891843295,14.138747694800731
1940-06-30,9.298076923076923,12.843765598268808
1940-07-31,9.484207228503887,13.36988476321006
1940-08-31,9.562470117280883,13.649399392391642
1940-09-30,9.842592592592593,14.214842598620642
1940-10-31,10.028037383177569,14.328290323104959
1940-11-30,10.358490566037736,14.636689248763613
1940-12-31,10.028571428571427,13.908426122353838
1941-01-31,10.015854480552154,13.904158267950832
1941-02-28,9.359591925577522,13.002943303402448
1941-03-31,9.386792452830187,12.955719822063331
1941-04-30,9.009345794392523,12.429370389220786
1941-05-31,8.731481481481481,12.037206512481578
1941-06-30,8.954128440366972,12.164306590628442
1941-07-31,9.133558259816795,12.744996277919583
1941-08-31,8.8270638989513,12.46317372038781
1941-09-30,8.605042016806724,12.27972927209308
1941-10-31,8.330508474576272,11.57781495657408
1941-11-30,8.008547008547009,10.911668685916966
1941-12-31,7.551724137931035,10.086593309917905
1942-01-31,7.973214285714285,10.101686431929252
1942-02-28,8.00925925925926,9.680255591749361
1942-03-31,7.865384615384615,9.003426617760969
1942-04-30,7.686274509803921,8.544255707588261
1942-05-31,7.93,8.50611625969605
1942-06-30,8.5,8.90545692851805
1942-07-31,8.937927952438637,9.150488900994741
1942-08-31,9.010492661011419,9.012823047564297
1942-09-30,9.23404255319149,9.077829839371503
1942-10-31,9.608247422680414,9.599176749352992
1942-11-30,9.47,9.661334152171664
1942-12-31,9.242718446601941,9.61751410328318
1943-01-31,9.670957415199409,10.150534220432082
1943-02-28,10.116687329062053,10.708982995221266
1943-03-31,10.345794392523365,10.850541744036802
1943-04-30,10.592592592592592,11.039227142939692
1943-05-31,10.908256880733944,11.362215800613695
1943-06-30,10.999999999999998,11.51674478645123
1943-07-31,11.295766145628493,11.774213341781651
1943-08-31,10.803647841571038,11.210545904158963
1943-09-30,11.101851851851851,11.336281939610283
1943-10-31,11.496811280036386,11.187335503326027
1943-11-30,11.483104228681004,10.631033673001417
1943-12-31,12.212765957446809,10.73736031604107
1944-01-31,12.651241049380408,11.05241276397747
1944-02-29,12.610718789542425,10.94791888772472
1944-03-31,13.010752688172042,11.224693196180679
1944-04-30,12.830930636355886,10.938275188239396
1944-05-31,13.104697871732084,11.103736936792616
1944-06-30,13.771739130434781,11.5327852725325
1944-07-31,14.233581837073665,11.73877475018071
1944-08-31,14.128671276223796,11.541711674209218
1944-09-30,14.0,11.32856058469647
1944-10-31,14.186813186813186,11.583105186279123
1944-11-30,13.934782608695652,11.47845919805548
1944-12-31,14.086021505376342,11.63868359335513
1945-01-31,14.351063829787234,11.960463439806993
1945-02-28,14.673684210526316,12.341753548186317
1945-03-31,14.510416666666666,12.32331031138933
1945-04-30,14.671237901108869,12.631867236563076
1945-05-31,15.020265195856354,13.036560628785356
1945-06-30,15.09,13.130223361406054
1945-07-31,14.829426478452683,12.86702844300916
1945-08-31,14.929535211253427,12.915378562256745
1945-09-30,16.0,13.79826495171978
1945-10-31,16.836734693877553,14.374662675391342
1945-11-30,17.56701030927835,14.847702661876786
1945-12-31,18.052083333333332,15.02034747473997
1946-01-31,19.170212765957448,15.623163177761676
1946-02-28,19.641304347826086,15.761666525801909
1946-03-31,19.477777777777778,15.134873415142536
1946-04-30,21.204545454545453,16.040842386215918
1946-05-31,21.744186046511626,16.01372317083218
1946-06-30,22.119047619047617,15.773186880128746
1946-07-31,21.070030712050308,14.508136111909067
1946-08-31,20.26718330808523,13.98493930994276
1946-09-30,16.95505617977528,11.841267540149635
1946-10-31,15.580980429232243,11.387602961765051
1946-11-30,14.641244655297857,11.110043656743295
1946-12-31,14.273584905660377,11.372779425862708
1947-01-31,13.460176991150444,11.469296334735576
1947-02-28,13.166666666666668,11.949565314209437
1947-03-31,11.937007874015748,11.287903096501285
1947-04-30,11.004997474880716,10.900825126392677
1947-05-31,10.366290039253107,10.733674273688536
1947-06-30,10.305555555555555,11.082715855052095
