Date,Open,High,Low,Close,Adj Close,Volume
2021-05-08,139.39,141.85,134.93,138.32,114.58,28673579
2021-05-01,137.49,141.98,137.24,139.06,113.92,33044081
2021-04-24,136.16,142.2,134.37,135.64,111.12,26766094
2021-04-17,127.72,138.37,126.75,136.17,111.55,49418898
2021-04-10,129.08,129.42,124.65,127.72,104.63,28065540
2021-04-03,127.76,130.68,127.53,129.76,106.3,20061652
2021-03-27,130.0,131.04,126.45,127.37,104.35,19280081
2021-03-20,122.85,130.48,122.27,130.38,106.81,24735703
2021-03-13,122.15,125.24,121.74,123.23,100.95,29336011
2021-03-06,117.58,122.98,117.48,122.0,99.94,30598638
2021-02-27,115.06,118.31,113.54,117.43,96.2,34163302
2021-02-20,113.29,118.88,113.23,113.7,93.15,32398072
2021-02-13,114.87,115.62,113.17,113.76,93.19,23614183
2021-02-06,117.23,118.53,114.81,115.49,93.36,25861932
2021-01-30,114.63,116.45,112.93,116.43,94.13,29743637
2021-01-23,113.54,119.3,112.28,113.87,92.06,59033311
2021-01-16,123.59,126.42,112.2,113.39,91.67,64432972
2021-01-09,122.32,124.44,120.9,122.74,99.23,30791624
2021-01-02,120.32,126.08,117.63,122.88,99.34,29742068
2020-12-26,119.6,121.03,117.82,120.34,97.29,14703517
2020-12-19,118.52,119.7,116.37,119.21,96.37,15592513
2020-12-12,119.81,121.0,118.01,120.32,97.27,26439847
2020-12-05,120.93,122.07,118.17,118.8,96.04,30869133
2020-11-28,118.64,121.78,117.03,121.61,98.31,26211505
2020-11-21,112.27,119.8,112.11,118.88,96.11,20532979
2020-11-14,113.1,113.65,110.79,111.8,90.38,23533536
2020-11-07,112.7,114.47,108.49,111.71,89.02,31469329
2020-10-31,107.7,110.56,106.27,109.02,86.88,26638796
2020-10-24,109.42,109.85,101.26,106.75,85.07,38961931
2020-10-17,121.22,121.75,108.01,110.9,88.37,52806578
2020-10-10,122.44,122.61,118.4,120.39,95.94,22870791
2020-10-03,116.48,129.54,115.73,122.17,97.35,45376316
2020-09-26,115.27,117.88,113.59,115.27,91.85,15704435
2020-09-19,115.18,116.24,111.36,113.72,90.62,19569090
2020-09-12,116.98,120.29,116.41,117.36,93.52,19777768
2020-09-05,116.79,118.26,114.95,116.12,92.53,17266845
2020-08-29,119.74,124.24,115.91,116.92,93.17,27520887
2020-08-22,118.35,121.24,117.93,119.57,95.28,17739219
2020-08-15,119.74,120.07,116.93,117.74,93.83,16665604
2020-08-08,119.9,124.73,118.46,119.76,95.43,19491059
2020-08-01,118.07,121.18,116.78,119.46,93.97,18493177
2020-07-25,119.37,120.78,115.76,117.53,92.45,20930042
2020-07-18,120.53,126.36,119.64,120.26,94.59,43127522
2020-07-11,114.51,120.11,112.73,119.61,94.08,22984803
2020-07-04,115.92,116.49,110.13,113.15,89.0,23602990
2020-06-27,112.79,116.08,112.21,114.44,90.01,17239963
2020-06-20,116.75,117.5,110.78,112.04,88.12,36649540
2020-06-13,113.95,121.89,113.09,117.08,92.09,26021342
2020-06-06,126.45,129.9,112.66,116.55,91.67,35023010
2020-05-30,119.16,128.33,118.58,126.25,99.31,20423150
2020-05-23,115.97,121.39,115.69,119.41,93.92,24101932
2020-05-16,114.61,117.08,112.42,113.18,89.03,20364783
2020-05-09,116.45,118.85,106.89,111.84,87.97,25363722
2020-05-02,115.51,118.85,114.14,117.58,91.26,22172062
2020-04-25,120.04,123.62,116.05,116.51,90.43,27740758
2020-04-18,113.91,119.5,107.13,119.24,92.55,43392996
2020-04-11,116.28,119.67,109.39,114.84,89.13,28523688
2020-04-04,105.5,117.51,105.29,116.16,90.16,24439058
2020-03-28,103.34,108.8,99.92,101.66,78.91,30217057
2020-03-21,90.44,108.17,86.58,103.28,80.16,41770754
2020-03-14,93.69,102.69,90.54,91.2,70.78,49728723
2020-03-07,114.88,119.39,96.38,103.2,80.1,58188457
2020-02-29,125.0,130.11,119.04,122.11,94.78,36676316
2020-02-22,139.11,141.54,120.8,124.43,96.57,40273405
2020-02-15,143.2,145.21,142.29,143.25,111.19,13067991
2020-02-08,146.24,148.76,143.18,144.07,111.82,24510500
2020-02-01,137.91,151.77,137.57,146.66,112.66,45729446
2020-01-25,132.41,137.72,129.03,137.41,105.55,36321828
2020-01-18,131.75,139.38,131.55,134.38,103.22,36560315
2020-01-11,129.52,132.25,129.13,132.23,101.57,22177396
2020-01-04,127.55,131.81,127.34,130.68,100.38,17623322
2019-12-28,129.25,129.94,126.58,128.43,98.65,14035960
2019-12-21,129.81,130.16,128.69,129.32,99.34,9296011
2019-12-14,129.01,130.42,127.59,129.63,99.57,20958179
2019-12-07,127.49,129.69,127.4,128.31,98.56,18578320
2019-11-30,128.54,128.59,124.94,127.36,97.83,18067035
2019-11-23,128.56,130.16,127.18,128.54,98.73,12018017
2019-11-16,128.39,129.43,126.91,128.43,98.65,17767774
2019-11-09,131.17,131.17,127.47,128.49,98.7,16763928
2019-11-02,130.25,133.02,130.17,131.56,99.88,17970175
2019-10-26,130.02,130.62,127.34,129.57,98.37,16884219
2019-10-19,126.78,129.95,125.14,129.48,98.3,20141986
2019-10-12,136.05,137.4,126.43,128.19,97.32,35150726
2019-10-05,136.0,138.15,132.17,136.48,103.61,14500907
2019-09-28,137.41,140.87,133.06,136.7,103.78,16351491
2019-09-21,134.98,138.71,134.38,136.94,103.96,12805969
2019-09-14,136.29,138.65,134.33,135.64,102.97,15824515
2019-09-07,134.41,139.06,134.28,137.35,104.27,18606248
2019-08-31,128.92,135.47,127.47,134.39,102.02,13246753
2019-08-24,125.29,130.09,123.48,129.57,98.37,16953464
2019-08-17,128.95,130.33,123.16,123.87,94.04,17261824
2019-08-10,129.69,130.56,124.52,127.88,97.08,21412770
2019-08-03,138.6,138.72,129.4,130.14,97.65,29939867
2019-07-27,144.46,146.22,139.19,140.77,105.63,23929132
2019-07-20,143.56,145.26,141.85,144.7,108.58,17566106
2019-07-13,136.61,144.91,135.71,143.1,107.37,33357568
2019-07-06,134.85,136.63,133.01,136.46,102.39,13800400
2019-06-29,133.46,135.58,133.15,135.16,101.42,10305714
2019-06-22,133.08,133.99,131.78,131.84,98.92,16291973
2019-06-15,129.44,133.4,128.78,133.08,99.85,16580041
2019-06-08,128.47,130.46,128.02,129.21,96.95,14353108
2019-06-01,121.51,128.8,121.47,127.45,95.63,16938191
2019-05-25,126.32,126.81,121.27,121.41,91.09,15552974
2019-05-18,127.66,131.03,124.7,126.46,94.89,16272936
2019-05-11,127.42,130.12,125.2,128.41,96.35,17181387
2019-05-04,132.22,134.5,126.6,129.37,95.93,20406728
2019-04-27,133.03,135.57,132.58,134.08,99.42,17543616
2019-04-20,133.29,135.1,131.65,133.31,98.85,17741206
2019-04-13,138.05,139.0,130.27,134.16,99.48,28650567
2019-04-06,136.73,138.09,135.6,138.0,102.33,14304677
2019-03-30,135.29,137.88,135.29,136.98,101.57,15243568
2019-03-23,132.94,135.01,132.27,134.89,100.03,14912821
2019-03-16,133.68,135.87,132.62,133.32,98.86,18705513
2019-03-09,130.05,134.16,129.87,133.3,98.84,21923637
2019-03-02,133.83,133.92,127.71,129.15,95.77,19411564
2019-02-23,133.84,134.31,131.66,133.08,98.68,15975871
2019-02-16,131.75,133.25,131.19,133.13,98.72,13847680
2019-02-09,128.38,132.11,128.02,131.96,97.85,18094545
2019-02-02,128.13,130.64,126.31,127.83,93.7,22880622
2019-01-26,127.25,129.46,126.75,128.2,93.97,24670642
2019-01-19,117.88,129.06,116.2,128.08,93.88,46177133
2019-01-12,115.21,119.24,114.49,118.37,86.77,24702022
2019-01-05,112.33,116.5,111.54,116.12,85.11,20690821
2018-12-29,108.35,112.32,106.78,112.16,82.21,18877371
2018-12-22,105.07,109.75,101.28,108.06,79.21,22625294
2018-12-15,113.83,114.98,105.58,106.06,77.74,41301728
2018-12-08,114.47,118.37,113.31,114.63,84.02,24791142
2018-12-01,120.14,121.02,113.64,114.09,83.63,26991716
2018-11-24,113.16,119.21,112.87,118.8,87.08,28734772
2018-11-17,116.28,116.81,111.57,112.04,82.12,18865133
2018-11-10,118.07,118.14,114.25,116.22,85.19,24591460
2018-11-03,110.99,119.56,110.9,118.11,85.48,50713113
2018-10-27,114.09,118.5,109.07,110.58,80.04,91810976
2018-10-20,123.88,126.1,118.27,119.3,86.35,38665077
2018-10-13,134.21,139.05,122.33,123.42,89.33,53271002
2018-10-06,141.97,142.51,132.68,134.66,97.46,28977651
2018-09-29,145.04,147.57,141.37,142.48,103.12,19814063
2018-09-22,144.46,146.61,141.84,144.56,104.63,23898799
2018-09-15,141.91,145.89,140.98,144.69,104.72,39044250
2018-09-08,140.15,142.73,138.86,141.81,102.63,21232022
2018-09-01,139.56,141.17,138.44,139.05,100.64,16102752
2018-08-25,140.48,141.42,138.86,140.04,101.35,16662362
2018-08-18,139.93,140.69,138.38,139.62,101.05,13590259
2018-08-11,137.81,139.95,135.76,139.64,101.06,18712208
2018-08-04,140.49,141.15,137.55,138.13,98.9,17886810
2018-07-28,138.43,141.41,136.07,141.2,101.11,25486626
2018-07-21,139.91,142.71,138.3,138.77,99.36,20865294
2018-07-14,139.26,143.92,136.46,139.91,100.18,38253476
2018-07-07,136.32,140.52,136.2,139.48,99.87,18190359
2018-06-30,132.2,136.65,132.12,136.21,97.53,12512565
2018-06-23,134.23,135.14,131.41,133.56,95.63,26581162
2018-06-16,137.84,138.16,134.59,135.07,96.71,21550005
2018-06-09,140.17,141.03,137.38,139.0,99.53,22291306
2018-06-02,136.04,140.25,135.93,139.71,100.04,19474847
2018-05-26,136.26,136.81,134.04,135.71,97.17,21279720
2018-05-19,138.58,139.77,136.66,137.32,98.33,17731164
2018-05-12,138.12,138.8,136.63,137.74,98.63,17054088
2018-05-05,137.67,138.48,135.07,137.8,97.59,20942908
2018-04-28,140.4,140.9,133.75,137.58,97.43,24543971
2018-04-21,138.65,140.88,137.77,140.04,99.17,26181171
2018-04-14,151.04,154.88,138.15,138.53,98.1,53479575
2018-04-07,145.12,152.22,145.07,149.82,106.1,22198839
2018-03-31,146.6,148.11,140.97,143.95,101.94,21913385
2018-03-24,144.56,148.06,143.67,146.68,103.88,15765730
2018-03-17,152.69,152.86,142.01,142.34,100.8,23522552
2018-03-10,152.62,154.98,150.8,153.21,108.5,27210854
2018-03-03,147.34,152.56,146.99,152.3,107.86,24520123
2018-02-24,148.96,152.75,145.2,147.7,104.59,19823270
2018-02-17,148.94,149.89,146.07,148.68,105.29,16211851
2018-02-10,144.26,150.85,143.06,149.31,105.74,27361163
