Date,Open,High,Low,Close,Adj Close,Volume
"Sep 1, 2014","4,592.42","4,610.57","4,464.44","4,493.39","4,493.39","39,631,130,000"
"Aug 1, 2014","4,363.39","4,580.27","4,321.89","4,580.27","4,580.27","33,417,300,000"
"Jul 1, 2014","4,424.71","4,485.93","4,351.04","4,369.77","4,369.77","39,536,410,000"
"Jun 1, 2014","4,247.96","4,417.46","4,207.61","4,408.18","4,408.18","40,249,370,000"
"May 1, 2014","4,121.25","4,252.08","4,021.05","4,242.62","4,242.62","39,290,130,000"
"Apr 1, 2014","4,219.87","4,286.09","3,946.03","4,114.56","4,114.56","44,391,220,000"
"Mar 1, 2014","4,261.42","4,371.71","4,131.81","4,198.99","4,198.99","46,796,180,000"
"Feb 1, 2014","4,105.06","4,342.59","3,968.19","4,308.12","4,308.12","39,978,180,000"
"Jan 1, 2014","4,160.03","4,246.55","4,044.76","4,103.88","4,103.88","45,227,610,000"
"Dec 1, 2013","4,065.66","4,177.73","3,979.59","4,176.59","4,176.59","37,139,280,000"
"Nov 1, 2013","3,932.45","4,069.70","3,855.07","4,059.89","4,059.89","35,818,470,000"
"Oct 1, 2013","3,774.18","3,966.71","3,650.03","3,919.71","3,919.71","43,017,190,000"
"Sep 1, 2013","3,622.64","3,798.76","3,593.62","3,771.48","3,771.48","34,997,740,000"
"Aug 1, 2013","3,654.18","3,694.19","3,573.57","3,589.87","3,589.87","32,934,650,000"
"Jul 1, 2013","3,430.48","3,649.35","3,415.23","3,626.37","3,626.37","35,889,520,000"
"Jun 1, 2013","3,460.76","3,488.31","3,294.95","3,403.25","3,403.25","37,528,250,000"
"May 1, 2013","3,325.35","3,532.04","3,296.50","3,455.91","3,455.91","39,144,080,000"
"Apr 1, 2013","3,268.63","3,328.79","3,154.96","3,328.79","3,328.79","36,904,330,000"
"Mar 1, 2013","3,143.54","3,270.30","3,129.40","3,267.52","3,267.52","33,749,180,000"
"Feb 1, 2013","3,162.94","3,213.60","3,105.36","3,160.19","3,160.19","35,765,430,000"
"Jan 1, 2013","3,091.33","3,164.06","3,076.60","3,142.13","3,142.13","39,027,620,000"
"Dec 1, 2012","3,029.21","3,061.82","2,951.04","3,019.51","3,019.51","33,522,490,000"
"Nov 1, 2012","2,987.54","3,033.85","2,810.80","3,010.24","3,010.24","36,894,240,000"
"Oct 1, 2012","3,130.31","3,171.46","2,961.16","2,977.23","2,977.23","36,367,020,000"
"Sep 1, 2012","3,063.25","3,196.93","3,040.24","3,116.23","3,116.23","33,719,730,000"
"Aug 1, 2012","2,956.72","3,100.54","2,890.85","3,066.96","3,066.96","35,708,950,000"
"Jul 1, 2012","2,938.41","2,987.94","2,837.72","2,939.52","2,939.52","34,686,680,000"
"Jun 1, 2012","2,810.13","2,942.28","2,726.68","2,935.05","2,935.05","37,458,650,000"
"May 1, 2012","3,044.79","3,085.40","2,774.45","2,827.34","2,827.34","40,115,930,000"
"Apr 1, 2012","3,085.94","3,128.25","2,946.04","3,046.36","3,046.36","33,793,990,000"
"Mar 1, 2012","2,979.11","3,134.17","2,900.28","3,091.57","3,091.57","36,686,310,000"
"Feb 1, 2012","2,830.10","3,000.11","2,825.19","2,966.89","2,966.89","37,728,460,000"
"Jan 1, 2012","2,657.39","2,834.30","2,627.23","2,813.84","2,813.84","35,325,900,000"
"Dec 1, 2011","2,615.67","2,674.53","2,518.01","2,605.15","2,605.15","33,177,490,000"
"Nov 1, 2011","2,607.31","2,730.39","2,441.48","2,620.34","2,620.34","38,397,210,000"
